"","filename","Comparison1","Comparison2","ScatterDiff","LocationDiff","alpha","method"
"79","1R_R60_1351142954_453_1_NumPops=60_NumInd=30Bayenv2LFMMpca.Cpval","All","Neutral",747.45925671957,0.142502879935463,NA,NA
"80","1R_R60_1351142954_453_1_NumPops=60_NumInd=30Bayenv2LFMMpca.Cpval","All","MCD 0.75",704.861888569698,0.426708692566152,0.75,"MCD"
"81","1R_R60_1351142954_453_1_NumPops=60_NumInd=30Bayenv2LFMMpca.Cpval","All","MCD 0.90",733.801710758048,0.354724179345852,0.9,"MCD"
"82","1R_R60_1351142970_988_5_NumPops=60_NumInd=20Bayenv2LFMMpca.Cpval","Neutral","All",270.351309545082,0.0824239511641539,NA,NA
"83","1R_R60_1351142970_988_5_NumPops=60_NumInd=20Bayenv2LFMMpca.Cpval","Neutral","MCD 0.51",0.672491225016125,0.0748290305071714,0.51,"MCD"
"84","1R_R60_1351142970_988_5_NumPops=60_NumInd=20Bayenv2LFMMpca.Cpval","Neutral","MCD 0.75",0.0516022101096451,0.0524486853821636,0.75,"MCD"
"85","1R_R60_1351142970_988_5_NumPops=60_NumInd=20Bayenv2LFMMpca.Cpval","Neutral","MCD 0.90",0.0458567467795216,0.0419453926116392,0.9,"MCD"
"86","1R_R60_1351142970_988_5_NumPops=60_NumInd=20Bayenv2LFMMpca.Cpval","Neutral","PCS 0.51",10.3588814795669,0.448326945916174,0.51,"PCS"
"87","1R_R60_1351142970_988_5_NumPops=60_NumInd=20Bayenv2LFMMpca.Cpval","Neutral","PCS 0.75",4.30367214397691,0.129209411869103,0.75,"PCS"
"88","1R_R60_1351142970_988_5_NumPops=60_NumInd=20Bayenv2LFMMpca.Cpval","Neutral","PCS 0.90",1.63902470341855,0.0388688051743313,0.9,"PCS"
"89","1R_R60_1351142970_988_5_NumPops=60_NumInd=20Bayenv2LFMMpca.Cpval","All","Neutral",270.351309545082,0.0824239511641539,NA,NA
"90","1R_R60_1351142970_988_5_NumPops=60_NumInd=20Bayenv2LFMMpca.Cpval","All","MCD 0.75",263.660865652228,0.262854796498781,0.75,"MCD"
"91","1R_R60_1351142970_988_5_NumPops=60_NumInd=20Bayenv2LFMMpca.Cpval","All","MCD 0.90",277.250322437607,0.240388953051922,0.9,"MCD"
"92","1R_R60_1351142970_988_5_NumPops=60_NumInd=30Bayenv2LFMMpca.Cpval","Neutral","All",689.31932012899,0.131226369439077,NA,NA
"93","1R_R60_1351142970_988_5_NumPops=60_NumInd=30Bayenv2LFMMpca.Cpval","Neutral","MCD 0.51",5.36776436440607,0.0787449188855904,0.51,"MCD"
"94","1R_R60_1351142970_988_5_NumPops=60_NumInd=30Bayenv2LFMMpca.Cpval","Neutral","MCD 0.75",1.72904657168559,0.0558638561643601,0.75,"MCD"
"95","1R_R60_1351142970_988_5_NumPops=60_NumInd=30Bayenv2LFMMpca.Cpval","Neutral","MCD 0.90",0.190693543108913,0.039265221207033,0.9,"MCD"
"96","1R_R60_1351142970_988_5_NumPops=60_NumInd=30Bayenv2LFMMpca.Cpval","Neutral","PCS 0.51",16.7206484030703,0.325883027435922,0.51,"PCS"
"97","1R_R60_1351142970_988_5_NumPops=60_NumInd=30Bayenv2LFMMpca.Cpval","Neutral","PCS 0.75",5.16764278697241,0.121922926706847,0.75,"PCS"
"98","1R_R60_1351142970_988_5_NumPops=60_NumInd=30Bayenv2LFMMpca.Cpval","Neutral","PCS 0.90",1.35086781537155,0.0274495909454384,0.9,"PCS"
"99","1R_R60_1351142970_988_5_NumPops=60_NumInd=30Bayenv2LFMMpca.Cpval","All","Neutral",689.31932012899,0.131226369439077,NA,NA
"100","1R_R60_1351142970_988_5_NumPops=60_NumInd=30Bayenv2LFMMpca.Cpval","All","MCD 0.75",622.719446730628,0.357011605262199,0.75,"MCD"
"101","1R_R60_1351142970_988_5_NumPops=60_NumInd=30Bayenv2LFMMpca.Cpval","All","MCD 0.90",667.101054891794,0.313355148127026,0.9,"MCD"
"102","1R_R60_1351142986_950_9_NumPops=60_NumInd=20Bayenv2LFMMpca.Cpval","Neutral","All",339.874310816436,0.08826569385211,NA,NA
"103","1R_R60_1351142986_950_9_NumPops=60_NumInd=20Bayenv2LFMMpca.Cpval","Neutral","MCD 0.51",0.754454819488296,0.132063255398966,0.51,"MCD"
"104","1R_R60_1351142986_950_9_NumPops=60_NumInd=20Bayenv2LFMMpca.Cpval","Neutral","MCD 0.75",0.0301015131676449,0.0873485904446628,0.75,"MCD"
"105","1R_R60_1351142986_950_9_NumPops=60_NumInd=20Bayenv2LFMMpca.Cpval","Neutral","MCD 0.90",0.0239356484990763,0.0546646479151253,0.9,"MCD"
"106","1R_R60_1351142986_950_9_NumPops=60_NumInd=20Bayenv2LFMMpca.Cpval","Neutral","PCS 0.51",11.8287773570078,0.467257996202558,0.51,"PCS"
"107","1R_R60_1351142986_950_9_NumPops=60_NumInd=20Bayenv2LFMMpca.Cpval","Neutral","PCS 0.75",5.720064968412,0.182897633618841,0.75,"PCS"
"108","1R_R60_1351142986_950_9_NumPops=60_NumInd=20Bayenv2LFMMpca.Cpval","Neutral","PCS 0.90",1.2872017457158,0.0295441529521308,0.9,"PCS"
"109","1R_R60_1351142986_950_9_NumPops=60_NumInd=20Bayenv2LFMMpca.Cpval","All","Neutral",339.874310816436,0.08826569385211,NA,NA
"110","1R_R60_1351142986_950_9_NumPops=60_NumInd=20Bayenv2LFMMpca.Cpval","All","MCD 0.75",334.838629050795,0.348057583877998,0.75,"MCD"
"111","1R_R60_1351142986_950_9_NumPops=60_NumInd=20Bayenv2LFMMpca.Cpval","All","MCD 0.90",345.200248831485,0.280181777501595,0.9,"MCD"
"112","1R_R60_1351142986_950_9_NumPops=60_NumInd=30Bayenv2LFMMpca.Cpval","Neutral","All",907.811231381859,0.136296610370806,NA,NA
"113","1R_R60_1351142986_950_9_NumPops=60_NumInd=30Bayenv2LFMMpca.Cpval","Neutral","MCD 0.51",5.74628800703594,0.10469000843363,0.51,"MCD"
"114","1R_R60_1351142986_950_9_NumPops=60_NumInd=30Bayenv2LFMMpca.Cpval","Neutral","MCD 0.75",1.16896424516234,0.0732031284274327,0.75,"MCD"
"115","1R_R60_1351142986_950_9_NumPops=60_NumInd=30Bayenv2LFMMpca.Cpval","Neutral","MCD 0.90",0.0488766768243065,0.0497256470732607,0.9,"MCD"
"116","1R_R60_1351142986_950_9_NumPops=60_NumInd=30Bayenv2LFMMpca.Cpval","Neutral","PCS 0.51",19.9076323773401,0.458505233116552,0.51,"PCS"
"117","1R_R60_1351142986_950_9_NumPops=60_NumInd=30Bayenv2LFMMpca.Cpval","Neutral","PCS 0.75",7.60756377500571,0.168669069462666,0.75,"PCS"
"118","1R_R60_1351142986_950_9_NumPops=60_NumInd=30Bayenv2LFMMpca.Cpval","Neutral","PCS 0.90",1.78734035320851,0.0289918214500489,0.9,"PCS"
"119","1R_R60_1351142986_950_9_NumPops=60_NumInd=30Bayenv2LFMMpca.Cpval","All","Neutral",907.811231381859,0.136296610370806,NA,NA
"120","1R_R60_1351142986_950_9_NumPops=60_NumInd=30Bayenv2LFMMpca.Cpval","All","MCD 0.75",844.576967026469,0.406973242374918,0.75,"MCD"
"121","1R_R60_1351142986_950_9_NumPops=60_NumInd=30Bayenv2LFMMpca.Cpval","All","MCD 0.90",895.237524280358,0.349536594973883,0.9,"MCD"
"122","1R_R90_1351142954_453_1_NumPops=90_NumInd=20Bayenv2LFMMpca.Cpval","Neutral","All",787.000017586226,0.15160636039987,NA,NA
"123","1R_R90_1351142954_453_1_NumPops=90_NumInd=20Bayenv2LFMMpca.Cpval","Neutral","MCD 0.51",6.89939670761638,0.0696093278466041,0.51,"MCD"
"124","1R_R90_1351142954_453_1_NumPops=90_NumInd=20Bayenv2LFMMpca.Cpval","Neutral","MCD 0.75",2.542152639874,0.0359362582129134,0.75,"MCD"
"125","1R_R90_1351142954_453_1_NumPops=90_NumInd=20Bayenv2LFMMpca.Cpval","Neutral","MCD 0.90",0.484137242730145,0.0259911406533348,0.9,"MCD"
"126","1R_R90_1351142954_453_1_NumPops=90_NumInd=20Bayenv2LFMMpca.Cpval","Neutral","PCS 0.51",19.7581891731051,0.346253580896517,0.51,"PCS"
"127","1R_R90_1351142954_453_1_NumPops=90_NumInd=20Bayenv2LFMMpca.Cpval","Neutral","PCS 0.75",5.92422112808096,0.120852182464862,0.75,"PCS"
"128","1R_R90_1351142954_453_1_NumPops=90_NumInd=20Bayenv2LFMMpca.Cpval","Neutral","PCS 0.90",1.23378290296496,0.021605970284217,0.9,"PCS"
"129","1R_R90_1351142954_453_1_NumPops=90_NumInd=20Bayenv2LFMMpca.Cpval","All","Neutral",787.000017586226,0.15160636039987,NA,NA
"130","1R_R90_1351142954_453_1_NumPops=90_NumInd=20Bayenv2LFMMpca.Cpval","All","MCD 0.75",700.961387014987,0.331324280173929,0.75,"MCD"
"131","1R_R90_1351142954_453_1_NumPops=90_NumInd=20Bayenv2LFMMpca.Cpval","All","MCD 0.90",749.061512864746,0.301128777400364,0.9,"MCD"
"132","1R_R90_1351142954_453_1_NumPops=90_NumInd=6Bayenv2LFMMpca.Cpval","Neutral","All",32.637182151719,0.0332308864942373,NA,NA
"133","1R_R90_1351142954_453_1_NumPops=90_NumInd=6Bayenv2LFMMpca.Cpval","Neutral","MCD 0.51",0.0730708389269436,0.0856485381599461,0.51,"MCD"
"134","1R_R90_1351142954_453_1_NumPops=90_NumInd=6Bayenv2LFMMpca.Cpval","Neutral","MCD 0.75",0.0251814259423143,0.0500284571172089,0.75,"MCD"
"135","1R_R90_1351142954_453_1_NumPops=90_NumInd=6Bayenv2LFMMpca.Cpval","Neutral","MCD 0.90",0.0388092898384581,0.0292941175933279,0.9,"MCD"
"136","1R_R90_1351142954_453_1_NumPops=90_NumInd=6Bayenv2LFMMpca.Cpval","Neutral","PCS 0.51",3.15249738382288,0.443488317291248,0.51,"PCS"
"137","1R_R90_1351142954_453_1_NumPops=90_NumInd=6Bayenv2LFMMpca.Cpval","Neutral","PCS 0.75",1.34919934931523,0.141798462620294,0.75,"PCS"
"138","1R_R90_1351142954_453_1_NumPops=90_NumInd=6Bayenv2LFMMpca.Cpval","Neutral","PCS 0.90",0.514406699057695,0.0334779375548008,0.9,"PCS"
"139","1R_R90_1351142954_453_1_NumPops=90_NumInd=6Bayenv2LFMMpca.Cpval","All","Neutral",32.637182151719,0.0332308864942373,NA,NA
"140","1R_R90_1351142954_453_1_NumPops=90_NumInd=6Bayenv2LFMMpca.Cpval","All","MCD 0.75",33.2281682671128,0.160704722063324,0.75,"MCD"
"141","1R_R90_1351142954_453_1_NumPops=90_NumInd=6Bayenv2LFMMpca.Cpval","All","MCD 0.90",34.7157924239751,0.122642720721519,0.9,"MCD"
"142","1R_R90_1351142970_988_5_NumPops=90_NumInd=20Bayenv2LFMMpca.Cpval","Neutral","All",683.768130979375,0.130978289296846,NA,NA
"143","1R_R90_1351142970_988_5_NumPops=90_NumInd=20Bayenv2LFMMpca.Cpval","Neutral","MCD 0.51",5.60515987651126,0.0711060520014887,0.51,"MCD"
"144","1R_R90_1351142970_988_5_NumPops=90_NumInd=20Bayenv2LFMMpca.Cpval","Neutral","MCD 0.75",2.36757553145477,0.0471783290879741,0.75,"MCD"
