"","filename","Comparison1","Comparison2","ScatterDiff","LocationDiff"
"52","1R_R60_1351142970_988_5_NumPops=60_NumInd=20Bayenv2LFMMpca.Cpval","Neutral","MCD 0.99",0.154829860756257,0.0266634453120636
"53","1R_R60_1351142970_988_5_NumPops=60_NumInd=20Bayenv2LFMMpca.Cpval","All","Neutral",270.351309545082,0.0824239511641539
"54","1R_R60_1351142970_988_5_NumPops=60_NumInd=20Bayenv2LFMMpca.Cpval","All","MCD 0.75",263.777458209042,0.263296593058696
"55","1R_R60_1351142970_988_5_NumPops=60_NumInd=20Bayenv2LFMMpca.Cpval","All","MCD 0.99",283.398701973241,0.202268465375449
"56","1R_R60_1351142970_988_5_NumPops=60_NumInd=30Bayenv2LFMMpca.Cpval","Neutral","All",689.31932012899,0.131226369439077
"57","1R_R60_1351142970_988_5_NumPops=60_NumInd=30Bayenv2LFMMpca.Cpval","Neutral","MCD 0.75",1.7098413213023,0.0560479143246735
"58","1R_R60_1351142970_988_5_NumPops=60_NumInd=30Bayenv2LFMMpca.Cpval","Neutral","MCD 0.99",0.0274225373169183,0.0242225432391898
"59","1R_R60_1351142970_988_5_NumPops=60_NumInd=30Bayenv2LFMMpca.Cpval","All","Neutral",689.31932012899,0.131226369439077
"60","1R_R60_1351142970_988_5_NumPops=60_NumInd=30Bayenv2LFMMpca.Cpval","All","MCD 0.75",623.083947099569,0.35748738392175
"61","1R_R60_1351142970_988_5_NumPops=60_NumInd=30Bayenv2LFMMpca.Cpval","All","MCD 0.99",697.941354603216,0.267984968820546
"62","1R_R60_1351142986_950_9_NumPops=60_NumInd=20Bayenv2LFMMpca.Cpval","Neutral","All",339.874310816436,0.08826569385211
"63","1R_R60_1351142986_950_9_NumPops=60_NumInd=20Bayenv2LFMMpca.Cpval","Neutral","MCD 0.75",0.0274044930718021,0.0881205420085665
"64","1R_R60_1351142986_950_9_NumPops=60_NumInd=20Bayenv2LFMMpca.Cpval","Neutral","MCD 0.99",0.230775147312038,0.0351627550861705
"65","1R_R60_1351142986_950_9_NumPops=60_NumInd=20Bayenv2LFMMpca.Cpval","All","Neutral",339.874310816436,0.08826569385211
"66","1R_R60_1351142986_950_9_NumPops=60_NumInd=20Bayenv2LFMMpca.Cpval","All","MCD 0.75",335.1739779386,0.349626565782056
"67","1R_R60_1351142986_950_9_NumPops=60_NumInd=20Bayenv2LFMMpca.Cpval","All","MCD 0.99",357.793725559108,0.234273953790265
"68","1R_R60_1351142986_950_9_NumPops=60_NumInd=30Bayenv2LFMMpca.Cpval","Neutral","All",907.811231381859,0.136296610370806
"69","1R_R60_1351142986_950_9_NumPops=60_NumInd=30Bayenv2LFMMpca.Cpval","Neutral","MCD 0.75",1.16483010534672,0.073625404402223
"70","1R_R60_1351142986_950_9_NumPops=60_NumInd=30Bayenv2LFMMpca.Cpval","Neutral","MCD 0.99",0.202054836132335,0.0378684884271639
"71","1R_R60_1351142986_950_9_NumPops=60_NumInd=30Bayenv2LFMMpca.Cpval","All","Neutral",907.811231381859,0.136296610370806
"72","1R_R60_1351142986_950_9_NumPops=60_NumInd=30Bayenv2LFMMpca.Cpval","All","MCD 0.75",844.689274297899,0.407983116897188
"73","1R_R60_1351142986_950_9_NumPops=60_NumInd=30Bayenv2LFMMpca.Cpval","All","MCD 0.99",935.086797524576,0.317594485105405
"74","1R_R90_1351142954_453_1_NumPops=90_NumInd=20Bayenv2LFMMpca.Cpval","Neutral","All",787.000017586226,0.15160636039987
"75","1R_R90_1351142954_453_1_NumPops=90_NumInd=20Bayenv2LFMMpca.Cpval","Neutral","MCD 0.75",2.53699361893872,0.0364148198105024
"76","1R_R90_1351142954_453_1_NumPops=90_NumInd=20Bayenv2LFMMpca.Cpval","Neutral","MCD 0.99",0.00393627488158122,0.0173758219968017
"77","1R_R90_1351142954_453_1_NumPops=90_NumInd=20Bayenv2LFMMpca.Cpval","All","Neutral",787.000017586226,0.15160636039987
"78","1R_R90_1351142954_453_1_NumPops=90_NumInd=20Bayenv2LFMMpca.Cpval","All","MCD 0.75",701.047976274838,0.33283925211125
